Item,Item code,Type,Parent code,Link
Teknikvetenskap,TETEP,focus,TE25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=TE25&orientationCode=TETEP&orientationName=Teknikvetenskap&a=TETEP&tos=gy&origin=gy2025
Tågteknikutbildningen,TA25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=TA25&tos=gy&origin=gy2025
Utbildningen samiska näringar,SM25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=SM25&tos=gy&origin=gy2025
VVS- och fastighetsprogrammet,VF25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=VF25&tos=gy&origin=gy2025
Fastighet,VFFAT,focus,VF25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=VF25&orientationCode=VFFAT&orientationName=Fastighet&a=VFFAT&tos=gy&origin=gy2025
Kyl- och värmepumpsteknik,VFKYV,focus,VF25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=VF25&orientationCode=VFKYV&orientationName=Kyl-+och+v%C3%A4rmepumpsteknik&a=VFKYV&tos=gy&origin=gy2025
Ventilation,VFVEO,focus,VF25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=VF25&orientationCode=VFVEO&orientationName=Ventilation&a=VFVEO&tos=gy&origin=gy2025
VVS,VFVVP,focus,VF25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=VF25&orientationCode=VFVVP&orientationName=VVS&a=VFVVP&tos=gy&origin=gy2025
Vård- och omsorgsprogrammet,VO25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=VO25&tos=gy&origin=gy2025
Yrkesdansarutbildningen,YR25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=YR25&tos=gy&origin=gy2025
Profil klassisk balett,YRKLB,focus,YR25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=YR25&orientationCode=YRKLB&orientationName=Profil+klassisk+balett&a=YRKLB&tos=gy&origin=gy2025
Profil modern nutida dans,YRMND,focus,YR25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=YR25&orientationCode=YRMND&orientationName=Profil+modern+nutida+dans&a=YRMND&tos=gy&origin=gy2025
