Item,Item code,Type,Parent code,Link
Lastbil och mobila maskiner,FTLAS,focus,FT,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=FT001&orientationCode=FTLAS&orientationName=Lastbil+och+mobila+maskiner&a=FTLAS&tos=gy
Personbil,FTPER,focus,FT,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=FT001&orientationCode=FTPER&orientationName=Personbil&a=FTPER&tos=gy
Transport,FTTRA,focus,FT,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=FT001&orientationCode=FTTRA&orientationName=Transport&a=FTTRA&tos=gy
Försäljnings- och serviceprogrammet,FS,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=FS&version=6&tos=gy
Hantverksprogrammet,HV,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=HV001&version=19&tos=gy
Finsnickeri,HVFIN,focus,HV,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=HV001&orientationCode=HVFIN&orientationName=Finsnickeri&a=HVFIN&tos=gy
Florist,HVFLO,focus,HV,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=HV001&orientationCode=HVFLO&orientationName=Florist&a=HVFLO&tos=gy
"Frisör, barberare, hår- och makeupstylist",HVFRS,focus,HV,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=HV001&orientationCode=HVFRS&orientationName=Fris%C3%B6r%2C+barberare%2C+h%C3%A5r-+och+makeupstylist&a=HVFRS&tos=gy
Textil design,HVTEX,focus,HV,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=HV001&orientationCode=HVTEX&orientationName=Textil+design&a=HVTEX&tos=gy
Övriga hantverk,HVXXX,focus,HV,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=HV001&orientationCode=HVXXX&orientationName=%C3%96vriga+hantverk&a=HVXXX&tos=gy
Hotell- och turismprogrammet,HT,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=HT001&version=13&tos=gy
Humanistiska programmet,HU,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=HU001&version=7&tos=gy
Kultur,HUKUL,focus,HU,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=HU001&orientationCode=HUKUL&orientationName=Kultur&a=HUKUL&tos=gy
Språk,HUSPR,focus,HU,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=HU001&orientationCode=HUSPR&orientationName=Spr%C3%A5k&a=HUSPR&tos=gy
Industritekniska programmet,IN,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=IN001&version=16&tos=gy
Driftsäkerhet och underhåll,INDRI,focus,IN,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=IN001&orientationCode=INDRI&orientationName=Drifts%C3%A4kerhet+och+underh%C3%A5ll&a=INDRI&tos=gy
